id,severity,category,route_or_component,file_path,finding,evidence,user_impact,business_impact,recommended_fix,complexity,status
UX-101,P1,Admin UX,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","Admin tab navigation broken on mobile — sidebar uses hidden md:block","Tab interface has left nav with md:block class; no tab selector appears below 768px","Admins on phones cannot switch between admin tabs","Blocks mobile admin adoption for 30%+ mobile-first users","Add <select> dropdown or horizontal scroll tabs when sidebar is hidden",S,Open
UX-102,P1,Accessibility,search-bar.tsx,"apps/web/components/chat/search-bar.tsx","Missing aria-activedescendant on autocomplete input","Input has aria-autocomplete=list but no aria-activedescendant when arrow-nav through results","Screen reader users cannot follow which option is highlighted in autocomplete","Excludes blind users from primary search workflow","Add aria-activedescendant pointing to highlighted option's id on keyboard nav",XS,Open
UX-103,P1,Mobile UX,formatting-bar.tsx,"apps/web/components/chat/formatting-bar.tsx","Formatting toolbar buttons are 28px — fail 44px WCAG 2.5.8 touch target minimum","Buttons use h-7 w-7 (28px); no mobile media query override","Users with motor impairments struggle to tap correct button on mobile","Poor mobile composer UX drives users to other platforms","Increase to min-h-9 (36px) on desktop, min-h-11 (44px) on mobile via media query",XS,Open
UX-104,P1,i18n,admin/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/admin/page.tsx","150+ hardcoded user-facing strings — zero i18n usage","No t() calls in entire 1647-line file; all labels/headings/buttons hardcoded","International admins cannot use admin panel","Blocks enterprise adoption in non-English markets","Migrate all strings to t() with admin.* keys in en.json",XL,Open
UX-105,P1,i18n,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","80+ hardcoded user-facing strings — zero i18n usage","No t() calls; all section headings, labels, buttons hardcoded","International users cannot adjust preferences","Blocks international user self-service","Migrate to t() with settings.* keys in en.json",L,Open
UX-106,P1,i18n,search-bar.tsx,"apps/web/components/chat/search-bar.tsx","50+ hardcoded strings — zero i18n usage","No t() calls; all operator hints, placeholders, labels hardcoded","International users cannot use search operators or understand labels","Primary workflow blocked for non-English users","Migrate to t() using existing search.* keys in en.json",M,Open
UX-107,P1,Accessibility,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","Reset/Delete confirmation dialogs lack focus traps","Dialogs render as fixed overlays without focus cycling; Tab can reach behind backdrop","Users can accidentally interact with content behind confirmation dialog","Confusion during destructive actions, potential data loss","Add full focus trap cycling between first and last focusable elements",S,Open
UX-108,P1,State Design,channel-info.tsx,"apps/web/components/chat/channel-info.tsx","API failures silently caught with empty arrays","catch at members/messages fetcher returns {messages:[],members:[]}","Users see empty state instead of error message — no retry option","Trust erosion when data silently disappears","Add error state with retry button when API calls fail",S,Open
UX-201,P2,Forms,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","Dual save mechanism — auto-save AND Save Preferences button","handleNotificationChange() calls savePreferences() immediately; separate Save button also present","Users confused about which save method to use","Reduced confidence in settings functionality","Choose auto-save paradigm — remove explicit Save button, add debounce on auto-save",S,Open
UX-202,P2,Forms,settings/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/settings/page.tsx","Language change triggers window.location.reload()","line 412: window.location.reload() after locale change","Transient state lost on language switch — jarring experience","Poor multilingual UX","Use router.refresh() or locale context update instead of full reload",M,Open
UX-203,P2,Search,search/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/search/page.tsx","No result count shown in search results","Search results display items and Show more button but never total count","Users have no sense of results scope or completeness","Reduced search utility, users may miss information","Add Showing {count} of {total} results text",S,Open
UX-204,P2,Accessibility,search-bar.tsx,"apps/web/components/chat/search-bar.tsx","Type dropdown and autocomplete lack role=listbox","Popover with buttons (type menu) and autocomplete items have no listbox role","Screen readers don't recognize interactive lists","Reduced accessibility for primary search workflow","Add role=listbox to containers, role=option to items",S,Open
UX-205,P2,Accessibility,search/page.tsx,"apps/web/app/(workspace)/[workspaceSlug]/search/page.tsx","Results container has no role=listbox or aria-live=polite","Search results rendered as <Link> children of <div> without roles","Screen readers don't announce new search results","Reduced accessibility of search feature","Add role=listbox, aria-live=polite, role=option on items",S,Open
UX-206,P2,Interaction,formatting-bar.tsx,"apps/web/components/chat/formatting-bar.tsx","No arrow-key navigation between toolbar buttons","All 15 buttons only navigable via Tab — no Left/Right arrow support","Power users must Tab through all 15 buttons to reach target","Frustrating keyboard editing experience","Implement WAI-ARIA toolbar pattern with Left/Right arrow key navigation",M,Open
UX-207,P2,Accessibility,formatting-bar.tsx,"apps/web/components/chat/formatting-bar.tsx","No visible focus ring on toolbar buttons","transition-colors present but no focus-visible:ring or outline","Keyboard users cannot see which button has focus","Poor keyboard editing UX","Add focus-visible:ring-2 focus-visible:ring-[var(--button-bg)]",XS,Open
UX-208,P2,Accessibility,formatting-bar.tsx,"apps/web/components/chat/formatting-bar.tsx","Link/image buttons have aria-pressed: undefined","Ternary in isActive check returns undefined for non-toggle buttons","Screen readers get confused by undefined aria-pressed","Reduced button semantics","Use aria-haspopup=dialog for link/image buttons instead of aria-pressed",XS,Open
UX-209,P2,i18n,formatting-bar.tsx,"apps/web/components/chat/formatting-bar.tsx","20+ hardcoded strings — no i18n","All tooltips, labels, URL form text hardcoded","International users see English-only toolbar","Poor multilingual editing experience","Migrate to t() with formatting.* keys",S,Open
UX-210,P2,i18n,notification-preferences-modal.tsx,"apps/web/components/chat/notification-preferences-modal.tsx","20+ hardcoded strings — no i18n","All labels, radio options, button text hardcoded","International users can't understand notification settings","Poor multilingual settings UX","Migrate to t() with notifications.* keys",S,Open
UX-211,P2,i18n,keyboard-shortcuts.tsx,"apps/web/components/shared/keyboard-shortcuts.tsx","25+ hardcoded strings — no i18n","All categories, shortcut labels, search placeholder hardcoded","International users see English-only shortcut reference","Poor multilingual help UX","Migrate to t() using existing keyboardShortcuts.* keys in en.json",S,Open
UX-212,P2,Accessibility,keyboard-shortcuts.tsx,"apps/web/components/shared/keyboard-shortcuts.tsx","No Mac modifier detection — shows Ctrl+K on Mac","All shortcuts hardcoded as Ctrl+ regardless of platform","Mac users see wrong modifier keys","Reduced power-user trust","Detect navigator.platform and swap Ctrl→⌘, Alt→⌥",XS,Open
